"sample_id","tree","Intercept","longitude_norm","latitude_norm","log_n_speakers_norm","n_segments_norm","delta_norm","longitude_norm.latitude_norm","longitude_norm.log_n_speakers_norm","longitude_norm.n_segments_norm","longitude_norm.delta_norm","latitude_norm.log_n_speakers_norm","latitude_norm.n_segments_norm","latitude_norm.delta_norm","log_n_speakers_norm.n_segments_norm","log_n_speakers_norm.delta_norm","n_segments_norm.delta_norm"
7614,"heggarty2024",-5.25405691478475,-0.189202212603902,0.428393849114851,0.232583746281357,0.414135862954545,0.618714778528317,-0.360914068507456,0.000308814718907743,0.0559003369168537,-0.48180755319695,0.204426610998606,0.241075383133804,-0.056200141607201,0.449895950285747,0.452944519909148,0.309341307861139
7615,"heggarty2024",-5.24590912112576,-0.179848090775792,0.441259613528883,0.227391476213647,0.415660213635112,0.607440725699301,-0.358390908766195,0.00863377823244259,0.070027181929864,-0.481607396149714,0.194862028941006,0.25379681477066,-0.0676259544867706,0.452804885001375,0.412521038861833,0.320517538345128
7616,"heggarty2024",-5.24047359760908,-0.176649320784372,0.44537571355584,0.232372044426918,0.414007177526904,0.605682835701978,-0.366199069583001,0.00672795376027924,0.0677226721454511,-0.492931230068867,0.19224126348035,0.257677216676802,-0.0743157174173594,0.457060898851704,0.411212420917748,0.319540183648643
7617,"heggarty2024",-5.23281579366816,-0.175969497114946,0.451796524315852,0.235408397600925,0.422647792794146,0.622547527268772,-0.366275940803534,0.00502574734455712,0.0709253401304192,-0.494122836259299,0.192786738218594,0.266055628074984,-0.0632395917675159,0.460596223157354,0.424481887412469,0.327230484532431
7618,"heggarty2024",-5.24454594694358,-0.184718128034891,0.460627970331616,0.235914316680509,0.43284539921067,0.631700774705842,-0.373604345481483,0.00093880404640434,0.0814229893998468,-0.485621279130037,0.202964622438961,0.264914084065851,-0.0647402216006554,0.466847882357123,0.441127099669441,0.328738416316884
7619,"heggarty2024",-5.24454594694358,-0.184718128034891,0.460627970331616,0.235914316680509,0.43284539921067,0.631700774705842,-0.373604345481483,0.00093880404640434,0.0814229893998468,-0.485621279130037,0.202964622438961,0.264914084065851,-0.0647402216006554,0.466847882357123,0.441127099669441,0.328738416316884
7620,"heggarty2024",-5.23661245932452,-0.183496928320558,0.448712087743796,0.235557789798409,0.428516035931843,0.622269037188653,-0.373164531245506,0.0151407405387411,0.0712139079835991,-0.487050522734343,0.205894046912053,0.269814176076492,-0.0575355921683423,0.463715241021932,0.426811324001594,0.324862660056423
7621,"heggarty2024",-5.23070312816066,-0.196638234004901,0.439405868919934,0.232570587297801,0.452128315513447,0.643610929233205,-0.375455402927811,0.00276258222353219,0.0751899332151203,-0.502277257269728,0.215988471365229,0.269291184663906,-0.066736374631905,0.466305720963677,0.444260813917383,0.342507237411046
7622,"heggarty2024",-5.23968307470981,-0.204189635201083,0.437375082671674,0.238746365026663,0.462457339816162,0.657734290991251,-0.37270535708577,-0.011375036585302,0.0919217095406965,-0.531515272683998,0.206327752642194,0.284511060210179,-0.108846912227851,0.47943686276596,0.449730420845168,0.370918544963316
7623,"heggarty2024",-5.23906841445982,-0.219815577783151,0.418337185190958,0.24312035460206,0.4595636372979,0.653224711156182,-0.362422857490807,0.00467467705263791,0.0705456365118665,-0.507194667907007,0.201050102276162,0.270142174274312,-0.0693007703768315,0.474752888335978,0.438546077051822,0.348094042097661
